날짜,디즈니플러스,무빙,넷플릭스
2023-06-26,2.79305,0.96326,15.32464
2023-06-27,2.38412,1.01081,14.17696
2023-06-28,2.36833,1.49458,13.72068
2023-06-29,2.63371,1.71872,15.74044
2023-06-30,2.71394,1.35585,15.19613
2023-07-01,3.13698,1.541,15.30997
2023-07-02,3.15239,0.99651,14.80113
2023-07-03,2.41439,1.08862,14.70679
2023-07-04,2.46304,0.84292,15.37757
2023-07-05,2.54531,0.69269,13.97473
2023-07-06,2.58041,3.59252,14.05402
2023-07-07,3.02333,2.84616,15.33523
2023-07-08,3.45045,2.11967,14.58664
2023-07-09,3.54442,1.74862,14.8691
2023-07-10,2.71189,1.69997,14.88377
2023-07-11,2.64429,2.06229,15.42065
2023-07-12,2.57187,2.16257,14.01298
2023-07-13,2.84802,2.29349,16.08957
2023-07-14,3.05007,1.89979,16.38039
2023-07-15,3.56355,2.49629,15.20579
2023-07-16,3.38954,1.78558,14.7339
2023-07-17,2.71431,1.81121,14.79463
2023-07-18,2.68051,1.30422,15.05109
2023-07-19,2.96576,7.38858,13.59978
2023-07-20,2.75368,4.61317,14.70809
2023-07-21,2.73436,3.16781,14.38347
2023-07-22,3.342,5.30512,14.27613
2023-07-23,3.61852,3.51248,14.9614
2023-07-24,2.67252,3.20346,14.19646
2023-07-25,2.57094,4.09133,13.50433
2023-07-26,2.66751,3.8072,13.18584
2023-07-27,2.6235,4.72497,13.91827
2023-07-28,2.92081,4.73444,19.67151
2023-07-29,3.16799,3.61184,19.30827
2023-07-30,3.18879,3.49001,18.10414
2023-07-31,2.65414,3.42613,16.82442
2023-08-01,2.61217,4.14407,16.17017
2023-08-02,2.62925,4.29673,15.16456
2023-08-03,2.46119,8.51435,15.02324
2023-08-04,2.70409,10.30903,14.93837
2023-08-05,3.16966,11.7076,15.56903
2023-08-06,2.95331,8.54685,15.57906
2023-08-07,2.45264,8.11136,14.9393
2023-08-08,2.49833,8.25231,14.27539
2023-08-09,4.72107,44.52689,14.8756
2023-08-10,6.25446,78.65506,16.9962
2023-08-11,5.66465,65.776,15.02249
2023-08-12,6.5737,70.42985,14.80707
2023-08-13,5.80486,62.54431,14.19238
2023-08-14,5.83569,62.41413,14.54392
2023-08-15,6.55735,62.44384,14.53167
2023-08-16,6.89386,76.68618,13.11267
2023-08-17,6.81623,63.52281,13.08147
2023-08-18,6.11593,52.92759,15.37255
2023-08-19,6.57314,53.29957,16.47195
2023-08-20,6.0409,53.34042,15.94862
2023-08-21,5.25145,51.46031,15.64313
2023-08-22,5.52742,51.88206,15.62995
2023-08-23,7.79621,75.60666,15.43941
2023-08-24,8.15779,70.91047,15.30533
2023-08-25,7.95834,60.55575,15.01358
2023-08-26,8.99607,64.44262,14.63993
2023-08-27,9.27427,72.15583,14.59035
2023-08-28,7.58933,63.56255,14.21968
2023-08-29,7.43167,60.47923,14.44011
2023-08-30,10.08433,82.6892,13.69914
2023-08-31,8.33347,58.14321,13.21982
2023-09-01,7.69835,44.52745,13.71975
2023-09-02,8.52475,47.7792,13.55596
2023-09-03,8.16652,51.7944,13.14387
2023-09-04,6.25149,44.26133,12.7485
2023-09-05,6.15957,40.85507,12.00028
2023-09-06,10.63699,59.84374,11.39858
2023-09-07,13.74872,49.1124,12.13547
2023-09-08,11.08566,36.3561,12.76762
2023-09-09,12.6588,38.95565,12.58823
2023-09-10,12.70523,43.82436,12.26045
2023-09-11,9.9716,41.68407,12.0493
2023-09-12,9.95173,41.26066,11.55625
2023-09-13,14.17399,71.93279,11.71076
2023-09-14,11.57668,49.09123,12.12229
2023-09-15,11.84651,39.198,12.82891
2023-09-16,14.12608,43.12573,12.55982
2023-09-17,12.86716,44.96182,11.52524
2023-09-18,10.99541,45.49778,11.54603
2023-09-19,10.30773,39.76682,10.99857
2023-09-20,19.01931,100.0,11.43944
2023-09-21,17.53791,61.87632,11.12541
2023-09-22,10.84313,36.77469,12.2209
2023-09-23,10.73393,35.66787,12.01625
2023-09-24,9.64865,34.39837,11.57631
2023-09-25,7.7912,24.24997,11.62589
2023-09-26,7.63818,21.15458,12.37114
